"description","teamname","shotdistance","makeormiss","timer","game"
"Victor Oladipo misses 3-pt jump shot from 28 ft (IND 93, HOU 96)","IND",28.4,1.5,7.5,"INDHOU"
"Andre Drummond makes 2-pt layup at rim (DET 105, MIA 105)","IND",1.4,1.5,0.5,"MIADET"
"Reggie Jackson misses 2-pt layup from 5 ft (DET 103, MIA 105)","DET",5.4,1.5,0.5,"MIADET"
"Devin Booker makes 2-pt jump shot from 17 ft (PHO 102, MEM 100)","PHO",17.5,1.5,2.7,"PHOMEM"
"Mike Conley misses 3-pt jump shot from 30 ft (MEM 100, PHO 102)","MEM",30.5,1.5,4.7,"PHOMEM"
"Victor Oladipo makes 3-pt jump shot from 27 ft (IND 102, BOS 101)","IND",27.5,1.5,4.3,"INDBOS"
"Darren Collison makes 2-pt jump shot from 19 ft (assist by Bojan Bogdanovic) (IND 107, CHI 105)","IND",19.5,1.5,7.3,"INDCHI"
"Zach LaVine misses 2-pt jump shot from 14 ft (CHI 105, IND 107)","CHI",14.6,1.5,7.3,"INDCHI"
"Justin Holiday misses 3-pt jump shot from 26 ft (CHI 105, IND 107)","CHI",5.6,1.5,5.3,"INDCHI"
"Antonio Blakeney misses 2-pt jump shot from 19 ft (block by Myles Turner) (CHI 105, IND 107)","CHI",19.6,1.5,0.3,"INDCHI"
"Giannis Antetokounmpo misses 2-pt layup from 2 ft (MIL 111, BOS 113)","MIL",2.4,1.5,18.5,"BOSMIL"
"Rudy Gobert misses 2-pt hook shot from 6 ft (UTA 123, MIN 125)","UTA",6.2,1.5,22.5,"MINUTA"
"Jae Crowder misses 3-pt jump shot from 27 ft (UTA 125, MIN 128)","UTA",27.2,1.5,13.8,"MINUTA"
"Joe Ingles misses 3-pt jump shot from 23 ft (UTA 125, MIN 128)","UTA",23.2,1.5,7.3,"MINUTA"
"Dante Exum misses 3-pt jump shot from 23 ft (block by Derrick Rose) (UTA 125, MIN 128)","UTA",23.6,1.5,2.5,"MINUTA"
"Luka Doncic makes 2-pt jump shot from 7 ft (DAL 113, LAL 113)","DAL",7.6,2.5,7.2,"DALLAL"
"J.J. Barea misses 3-pt jump shot from 38 ft (DAL 113, LAL 114)","DAL",38.2,1.5,0.2,"DALLAL"
"Zach LaVine misses 2-pt jump shot from 4 ft (block by Nikola Jokic) (CHI 98, DEN 98)","CHI",4.2,1.5,7.2,"CHIDEN"
"Justin Holiday misses 2-pt jump shot from 20 ft (block by Paul Millsap) (CHI 98, DEN 98)","CHI",20.2,1.5,5.3,"CHIDEN"
"Jabari Parker misses 3-pt jump shot from 31 ft (CHI 98, DEN 98)","CHI",31.2,1.5,7.3,"CHIDEN"
"Spencer Dinwiddie makes 3-pt jump shot from 26 ft (assist by Allen Crabbe) (BRK 110, DET 110)","BRK",26.5,5,21.6,"BRKDET"
"Reggie Jackson misses 2-pt layup from 5 ft (DET 110, BRK 110)","DET",5.5,1.5,0.6,"BRKDET"
"DeMar DeRozan misses 2-pt jump shot from 12 ft (SAS 102, DAL 102)","SAS",12.5,1.5,0.3,"SASDAL"
"LeBron James misses 3-pt jump shot from 31 ft (LAL 105, SAS 108)","LAL",31.5,1.5,5.6,"LALSAS"
"Jrue Holiday makes 2-pt jump shot from 17 ft (NOP 116, BRK 115)","NOP",17.3,2.5,3.2,"NOPBRK"
"Zach LaVine misses 2-pt jump shot from 21 ft (CHI 110, CHO 110)","CHI",21.4,1.5,7.2,"CHICHO"
"Malik Monk misses 3-pt jump shot from 23 ft (CHO 110, CHI 112)","CHO",23.4,1.5,0.2,"CHICHO"
"Reggie Bullock misses 2-pt jump shot from 7 ft (DET 120, PHI 120)","DET",7.4,1.5,11.4,"DETPHI"
