"description","teamname","shotdistance","makeormiss","timer","game"
"DeMar DeRozan misses 2-pt jump shot from 17 ft (SAS 106, CHO 106)","San Antonio Spurs",17.6,1,0.9,"CHOSAS"
"Jeremy Lamb makes 3-pt jump shot from 48 ft (CHO 115, TOR 114)","Charlotte Hornets",48.5,10,0.4,"TORCHO"
"Terry Rozier misses 3-pt jump shot from 26 ft (BOS 117, CHO 120)","Boston Celtics",26.5,3,14.2,"BOSCHO"
"Trae Young makes 2-pt layup from 14 ft (assist by Kevin Huerter) (ATL 129, PHI 127)","Atlanta Hawks",14.5,8,0.8,"ATLPHI"
"Evan Fournier makes 2-pt layup from 2 ft (assist by Aaron Gordon) (ORL 110, MEM 110)","Orlando Magic",2.5,8,17.8,"ORLMEM"
"Tyler Dorsey misses 2-pt jump shot from 22 ft (MEM 110, ORL 110)","Memphis Grizzlies",22.5,1,2.4,"ORLMEM"
"Evan Fournier misses 3-pt jump shot from 27 ft (ORL 110, MEM 110)","Orlando Magic",27.5,3,0.8,"ORLMEM"
"Jordan Clarkson misses 3-pt jump shot from 27 ft (CLE 108, LAC 110)","Cleveland Cavs",27.5,3,0.9,"CLELAC"
"Thomas Bryant misses 3-pt jump shot from 29 ft (WAS 108, DEN 111)","Washington Wizards",29.5,3,12.3,"DENWAS"
"Donovan Mitchell misses 3-pt jump shot from 23 ft (UTA 114, ATL 117)","Utaz Jazz",23.7,10,1.3,"UTAATL"
"Russell Westbrook makes 2-pt layup from 2 ft (OKC 110, TOR 110)","OKC Thunder",2.7,8,4.3,"OKCTOR"
"Russell Westbrook misses 3-pt jump shot from 37 ft (OKC 110, TOR 110)","OKC Thunder",37.7,3,0.3,"OKCTOR"
"Danuel House misses 2-pt layup from 3 ft (HOU 110, MEM 112)","Houston Rockets",3.7,1,22.3,"MEMHOU"
"Chandler Parsons misses 3-pt jump shot from 40 ft (MEM 115, HOU 115)","Memphis Grizzlies",40.7,3,0.3,"MEMHOU"
"Bradley Beal misses 3-pt jump shot from 26 ft (WAS 109, CHI 112)","Washington Wizards",26.7,3,20.3,"WASCHI"
"Bradley Beal makes 2-pt jump shot from 14 ft (assist by Jabari Parker) (WAS 113, CHI 113)","Washington Wizards",14.7,8,2.3,"WASCHI"
"Buddy Hield misses 3-pt jump shot from 61 ft (SAC 121, BRK 123)","Sacramento Kings",50.0,3,0.5,"SACBRK"
"Rondae Hollis-Jefferson makes 2-pt layup from 2 ft (BRK 123, SAC 121)","Brooklyn Nets",2.0,8,0.9,"SACBRK"
"Jeremy Lamb misses 2-pt layup from 4 ft (CHO 114, PHI 116)","Charlotte Hornets",4.0,3,2.9,"PHICHO"
"Nicolas Batum misses 2-pt layup at rim (CHO 114, PHI 116)","Charlotte Hornets",1.0,1,0.9,"PHICHO"
"Julius Randle makes 2-pt dunk from 1 ft (assist by Elfrid Payton) (NOP 110, DAL 109)","New Orleans Pelicans",1.0,8,5.9,"DALNOP"
"Julius Randle misses 2-pt jump shot from 15 ft (NOP 110, DAL 110)","New Orleans Pelicans",15.0,1,1.2,"DALNOP"
"LeBron James misses 2-pt jump shot from 12 ft (block by Mario Hezonja) (LAL 123, NYK 124)","LA Lakers",12.0,1,2.2,"LALNYK"
"Jarrett Allen makes 2-pt dunk from 1 ft (assist by D'Angelo Russell) (BRK 116, LAC 116)","Brooklyn Nets",1.0,8,2.9,"BRKLAC"
"Lou Williams makes 3-pt jump shot from 28 ft (assist by Danilo Gallinari) (LAC 119, BRK 116)","LA Clippers",28.7,10,1.9,"BRKLAC"
"Julius Randle misses 2-pt layup from 2 ft (block by Dragan Bender) (NOP 120, PHO 120)","New Orleans Pelicans",2.7,1,24.0,"PHONOP"
"Julius Randle makes 2-pt dunk from 1 ft (assist by Elfrid Payton) (NOP 122, PHO 120)","New Orleans Pelicans",1.7,8,23.2,"PHONOP"
"Devin Booker makes 2-pt layup from 2 ft (PHO 122, NOP 122)","Phoenix Suns",2.5,8,18.2,"PHONOP"
"Frank Jackson misses 2-pt jump shot from 16 ft (NOP 122, PHO 122)","New Orleans Pelicans",16.5,1,1.2,"PHONOP"
"Paul Millsap makes 2-pt layup from 2 ft (assist by Jamal Murray) (DEN 102, IND 100)","Denver Nuggets",2.5,8,7.2,"INDDEN"
"Bojan Bogdanovic misses 3-pt jump shot from 25 ft (IND 100, DEN 102)","Indiana Pacers",25.9,3,2.8,"INDDEN"
"Bojan Bogdanovic misses 2-pt jump shot from 16 ft (IND 106, OKC 106)","Indiana Pacers",16.9,1,4.8,"INDOKC"
"Wesley Matthews makes 2-pt layup at rim (IND 108, OKC 106)","Indiana Pacers",3.9,8,1.8,"INDOKC"
"Russell Westbrook misses 3-pt jump shot from 29 ft (OKC 106, IND 108)","OKC Thunder",29.9,3,3.8,"INDOKC"
"Luka Doncic makes 2-pt dunk from 2 ft (DAL 99, DEN 98)","Dallas Mavericks",2.9,8,4.8,"DENDAL"
"Nikola Jokic makes 2-pt jump shot from 12 ft (DEN 100, DAL 99)","Denver Nuggets",12.6,8,1.8,"DENDAL"
"Stephen Curry misses 3-pt jump shot from 28 ft (GSW 108, PHO 111)","Golden State Warriors",28.6,3,23.8,"GSWPHO"
"Jalen Brunson misses 2-pt jump shot from 14 ft (block by Chris Paul) (DAL 93, HOU 94)","Dallas Mavericks",14.6,1,0.8,"DALHOU"
"Bradley Beal makes 3-pt jump shot from 25 ft (assist by Trevor Ariza) (WAS 121, MIN 121)","Washington Wizards",25.6,10,0.1,"WASMIN"
"Vince Carter misses 3-pt jump shot from 29 ft (ATL 112, BRK 114)","Brooklyn Nets",29.6,3,1.1,"ATLBRK"
"Bradley Beal misses 2-pt layup from 5 ft (WAS 111, CHO 112)","Washington Wizards",5.7,1,3.1,"WASCHO"
"Paul George misses 2-pt layup from 2 ft (OKC 111, POR 111)","OKC Thunder",2.7,1,19.1,"POROKC"
"Terrance Ferguson makes 2-pt layup from 1 ft (OKC 113, POR 111)","OKC Thunder",1.7,8,13.1,"POROKC"
"Damian Lillard misses 2-pt jump shot from 12 ft (POR 111, OKC 113)","Portland Blazers",12.7,1,6.1,"POROKC"
"Damian Lillard misses 3-pt jump shot from 48 ft (POR 113, OKC 113)","Portland Blazers",48.7,3,2.1,"POROKC"
"Gordon Hayward makes 2-pt jump shot from 9 ft (BOS 111, SAC 109)","Boston Celtics",9.7,8,2.1,"SACBOS"
"Harrison Barnes misses 3-pt jump shot from 30 ft (SAC 109, BOS 111)","Sacramento Kings",30.7,3,1.1,"SACBOS"
"Zach LaVine makes 2-pt layup from 2 ft (assist by Robin Lopez) (CHI 108, PHI 107)","Chicago Bulls",2.7,8,1.1,"CHIPHI"
"Elfrid Payton makes 2-pt layup from 2 ft (NOP 113, UTA 112)","New Orleans Pelicans",2.9,8,23.1,"UTANOP"
