"description","teamname","shotdistance","makeormiss","timer","game"
"Derrick Rose misses 3-pt jump shot from 26 ft (MIN 113, SAS 116)","Minnesota TWolves",26.3,3,0.4,"MINSAS"
"Dwyane Wade misses 3-pt jump shot from 26 ft (MIA 93, DET 96)","Miami Heat",26.5,3,6.3,"MIADET"
"Thomas Bryant makes 2-pt layup from 6 ft (assist by Bradley Beal) (WAS 101, NYK 100)","Washington Wizards",6.2,8,0.3,"NYKWAS"
"Emmanuel Mudiay misses 2-pt jump shot from 20 ft (NYK 100, WAS 101)","New York Knicks",20.2,1,0.3,"NYKWAS"
"Pascal Siakam makes 2-pt layup from 2 ft (TOR 111, PHO 109)","Toronto Raptors",2.2,8,0.7,"TORPHO"
"Kyle Kuzma misses 3-pt jump shot from 23 ft (LAL 122, OKC 122)","LA Lakers",23.2,3,0.1,"LALOKC"
"Spencer Dinwiddie makes 3-pt jump shot from 28 ft (BRK 131, HOU 131)","Brooklyn Nets",28.4,10,8.4,"BRKHOU"
"James Harden misses 3-pt jump shot from 28 ft (HOU 131, BRK 131)","Houston Rockets",28.3,3,0.8,"BRKHOU"
"Nikola Vucevic misses 2-pt jump shot from 19 ft (ORL 109, DET 109)","Orlando Magic",19.3,1,22.8,"DETORL"
"Blake Griffin misses 2-pt jump shot from 20 ft (DET 109, ORL 109)","Detroit Pistons",20.3,1,0.5,"DETORL"
"Bradley Beal makes 3-pt jump shot from 26 ft (WAS 124, TOR 124)","Washington Wizards",26.4,10,21.7,"WASTOR"
"Kawhi Leonard misses 2-pt jump shot from 12 ft (TOR 124, WAS 124)","Toronto Raptors",12.4,1,4.7,"WASTOR"
"Jeff Green misses 2-pt jump shot from 22 ft (WAS 124, TOR 124)","Washington Wizards",22.4,1,1.3,"WASTOR"
"Emmanuel Mudiay misses 3-pt jump shot from 25 ft (NYK 105, PHI 108)","New York Knicks",25.7,3,0.3,"NYKPHI"
"Damian Lillard misses 3-pt jump shot from 33 ft (POR 113, DEN 116)","Portland Blazers",33.7,3,0.7,"DENPOR"
"Jayson Tatum misses 2-pt jump shot from 21 ft (BOS 103, ORL 105)","Boston Celtics",21.7,1,0.4,"BOSORL"
"Shelvin Mack misses 2-pt layup from 4 ft (block by Dwyane Wade) (MEM 108, MIA 110)","Memphis Grizzlies",4.7,1,4.6,"MEMMIA"
"John Collins makes 2-pt jump shot from 13 ft (assist by Kevin Huerter) (ATL 123, PHI 121)","Atlanta Hawks",13.7,8,9.5,"PHIATL"
"Ben Simmons misses 2-pt layup at rim (PHI 121, ATL 123)","Philadelphia Sixers",0.7,1,2.5,"PHIATL"
"Wilson Chandler misses 2-pt layup at rim (PHI 121, ATL 123)","Philadelphia Sixers",0.7,1,0.5,"PHIATL"
"Luka Doncic makes 3-pt jump shot from 28 ft (DAL 117, MIN 115)","Dallas Mavericks",28.7,10,23.8,"MINDAL"
"Derrick White makes 3-pt jump shot from 27 ft (assist by Davis Bertans) (SAS 129, OKC 126)","San Antonio Spurs",27.7,10,21.8,"SASOKC"
"Jerami Grant makes 2-pt layup from 1 ft (assist by Russell Westbrook) (OKC 130, SAS 130)","OKC Thunder",1.9,8,5.6,"SASOKC"
"DeMar DeRozan misses 2-pt jump shot from 18 ft (SAS 130, OKC 130)","San Antonio Spurs",18.5,1,0.6,"SASOKC"
"Serge Ibaka makes 2-pt dunk at rim (assist by Kyle Lowry) (TOR 102, ATL 101)","Toronto Raptors",0.5,8,17.3,"TORATL"
"Trae Young misses 2-pt hook shot from 2 ft (ATL 101, TOR 102)","Atlanta Hawks",2.5,1,5.4,"TORATL"
"Vince Carter misses 3-pt jump shot from 51 ft (ATL 101, TOR 104)","Atlanta Hawks",49.9,3,1.5,"TORATL"
"Russell Westbrook misses 3-pt jump shot from 23 ft (OKC 117, MIN 119)","OKC Thunder",23.4,3,7.4,"OKCMIN"
"Russell Westbrook misses 3-pt jump shot from 26 ft (OKC 117, MIN 119)","OKC Thunder",26.4,3,2.8,"OKCMIN"
"Paul George misses 2-pt layup from 2 ft (OKC 117, MIN 119)","OKC Thunder",2.7,1,0.8,"OKCMIN"
"Bam Adebayo makes 2-pt hook shot from 5 ft (assist by Josh Richardson) (MIA 99, DEN 99)","Miami Heat",5.7,8,22.6,"MIADEN"
"Nikola Jokic makes 2-pt jump shot from 5 ft (assist by Jamal Murray) (DEN 101, MIA 99)","Denver Nuggets",5.1,8,2.6,"MIADEN"
"Damian Lillard misses 2-pt jump shot from 15 ft (POR 107, OKC 109)","Portland Blazers",15.4,1,11.2,"OKCPOR"
"CJ McCollum misses 2-pt jump shot from 21 ft (POR 107, OKC 109)","Portland Blazers",21.3,1,8.2,"OKCPOR"
"Zach LaVine makes 3-pt jump shot from 28 ft (assist by Kris Dunn) (CHI 105, IND 105)","Chicago Bulls",28.3,10,3.6,"CHIIND"
"James Harden misses 3-pt jump shot from 31 ft (HOU 119, GSW 119)","Houston Rockets",31.3,3,3.3,"HOUGSW"
"Stephen Curry misses 3-pt jump shot from 71 ft (GSW 119, HOU 119)","Golden State Warriors",49.9,1,0.3,"HOUGSW"
"Damian Lillard makes 2-pt layup from 2 ft (POR 103, SAC 103)","Portland Blazers",2.9,8,15.3,"PORSAC"
"De'Aaron Fox misses 2-pt jump shot from 20 ft (SAC 103, POR 103)","Sacramento Kings",20.4,1,0.6,"PORSAC"
"Reggie Bullock misses 3-pt jump shot from 25 ft (DET 102, ORL 105)","Sacramento Kings",25.7,3,23.3,"ORLDET"
"Evan Fournier makes 2-pt jump shot from 12 ft (assist by Aaron Gordon) (ORL 109, DET 107)","Orlando Magic",12.3,8,0.5,"ORLDET"
"Dennis Smith makes 2-pt layup from 1 ft (DAL 104, OKC 103)","Dallas Mavericks",1.3,8,24.5,"DALOKC"
"Paul George misses 2-pt jump shot from 19 ft (OKC 103, DAL 104)","OKC Thunder",19.3,1,4.3,"DALOKC"
"Russell Westbrook misses 3-pt jump shot from 23 ft (OKC 103, DAL 105)","OKC Thunder",23.3,3,0.6,"DALOKC"
















































































































































































